,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q36_First Click,Q36_Last Click,Q36_Page Submit,Q36_Click Count,check1,check2,check3,check4,Q1 RP1,Q2 RP2,Q3 RP3,Q4 RP4,Q5 RP5,Q6 RP6,Q7 RP7,Q8 RN1,Q9 RN2,Q10 RN3,Q11 RN4,Q12 RN5,Q13 RN6,Q14 RN7,Q15 LP1,Q16 LP2,Q17 LP3,Q18 LP4,Q19 LP5,Q20 LP6,Q21 LP7,Q22 LN1,Q23 LN2,Q24 LN3,Q25 LN4,Q26 LN5,Q27 LN6,Q28 LN7,gender,age,hispanic,ethinicity,social class,income,occupation,ideology,affiliation,Q275,Q276,Q277,Q278,Q279,Q280,mTurkCode,idid,ResponseID,dscore,Default
34,11/17/22 12:24,11/17/22 12:27,0,100,169,1,11/17/22 12:27,R_wMk1Fq68rdHq2Ln,anonymous,EN,4.511,4.511,17.943,1,1,2,1,"1,2",,,,,,,,,,,,,,,"21C1189,22C154,14C158,19X231,16C84,21C25,15C88,18C40,22X389,20X197,15C148,17X161,17X200,13X125,19C111,13C9,16C30,18C44,14C98,20C20,END","4C234,6C17,7C88,9C94,12X203,4C115,1C145,8C157,1C79,3X162,7X167,10X160,9X139,3C114,12X184,10X149,2C134,11C14,5C95,END","9X293,21X114,3X183,14X137,5X144,19X93,2C95,22C31,4C117,13X219,6X180,16X218,7X201,17C159,11X200,20X142,8X176,15X224,12X84,18X182,END","11X242,18X219,10X214,22X207,1C167,18C23,11X208,22X218,6C157,15X261,1C19,21C6,8X230,19C119,7X188,20X256,4X357,16C160,3X254,21C29,9X222,14C118,5X258,15C41,5X260,17X239,6X182,14X191,9C57,13C162,12C41,20X177,2C138,17X229,4X224,16X189,8C55,19X182,12X204,13C121,END","22X273,21C86,17C1,20X323,13X50,19C196,16X21,13C207,15C151,20C177,15X24,18C75,17C0,19C160,14X32,22X457,19C81,22C163,15C4,20X193,22X234,17X39,13X259,14C3,18X190,16C50,21C163,16C23,19C171,17C49,21C159,20X257,15C97,18C118,21X189,18X199,14C19,14C52,16X211,13X265,END","8X254,15C1,5C154,14C87,2C135,17X68,10X208,22C165,1C2,16C36,6X192,18X240,3C1,13C45,7X234,21X246,12C67,20C104,9C24,19X117,END","9X248,20C157,5X189,17C105,7X213,20C51,4X200,16X157,8X218,21C93,3X210,18X209,1X136,14C16,12X169,22C94,2X164,15C15,6C103,17X179,10X212,15X173,3C92,19X176,2X161,19X187,12C22,22C92,7C19,13X192,8X163,13X201,5C47,21X173,11C52,18C19,10C136,14X199,4C85,16C84,END",,,,,,,,Female,42,0,1.0,3,"70,000 - 79,999",manager,Not reported,Democratic,1.0,,2,,2,,56723225,35,R_wMk1Fq68rdHq2Ln,,0
37,11/17/22 12:25,11/17/22 12:28,0,100,156,1,11/17/22 12:28,R_1FDPjli4LM1bcOk,anonymous,EN,0.0,0.0,11.411,0,1,2,1,"1,2",,,,,,,,,,,,,,,"18C476,20C3,17C8,15X115,18C41,22X102,21X148,14C4,19C19,16C19,15X120,17X86,14X109,16X94,13X56,13X130,22C61,20X115,21C132,19C95,END","11X953,11C171,5C19,9C99,12X186,8X151,10X155,5X201,4X137,1X139,2X159,1X149,7C65,7X182,3C19,9C52,12X176,2C25,4X162,6X198,END","4C346,20C164,7X206,22X193,1C27,16X119,11C84,21X155,8X191,14C17,12C80,15C24,2X131,17X161,10C58,18X144,3C28,19C66,5X178,13X130,END","7C415,18C23,12X279,14C45,5X284,20C112,4C56,16X154,11C73,18X151,5C72,22C25,1X136,22C56,2C32,13X158,8C55,15C43,12C28,21X257,8X134,16C37,10C84,17C6,6X133,15X108,3X126,13X149,1X167,17X137,9C86,19X136,9X118,14X119,7C112,21X184,3C18,20C84,2C6,19C97,END","14X478,17C196,14X180,21C21,22X185,21X194,15C150,20C17,22X164,21X196,20X196,18X246,13C115,15X163,18C54,22X197,17C117,16X169,17X127,14X115,16X117,19C4,16C36,16C100,20X149,21X116,19X118,17C52,18C21,15C36,13C99,19C35,22X69,13C68,13C113,18X128,20X149,14C60,19C30,15C20,END","4X766,16C139,1C15,19X116,10C133,22C0,8C81,17X149,2C18,18X133,9X1763,14X235,3C34,13C155,5C63,20X197,12C83,21C80,7C54,15X166,END","6X719,21X248,3X165,16C86,10X179,22C68,6X216,19X180,1X182,17C92,5C41,16C63,2C4,14X150,11X409,20C49,3X200,18X219,1X139,13C64,4C85,20X213,8C74,15X165,10X155,21C39,7C50,22C35,11C56,14X146,9X165,18C55,8C66,17X165,7X104,13X809,12C99,19X1399,4X1910,15X939,END",,,,,,,,Female,30,0,1.0,2,"40,000 - 49,999",supervisor,Liberal,Democratic,1.0,,2,,2,,47497447,38,R_1FDPjli4LM1bcOk,,0
39,11/17/22 12:22,11/17/22 12:28,0,100,378,1,11/17/22 12:28,R_2VNJr47DVHke6d7,anonymous,EN,0.0,0.0,10.907,0,1,2,1,"1,2",,,,,,,,,,,,,,,,,,,,,,"17C11764,14C814,20C661,16C647,18C807,19C601,21C568,20C541,14C523,13C862,19X1057,17C1399,21C762,15X1008,13C720,15C700,16C689,18C722,22C731,22C548,END","6C2471,1C791,11C618,1C725,9C878,9C801,12C808,2C849,4C907,7X1052,5C568,3X1596,2C812,8C1039,8C533,12C802,6C928,10C861,11C688,5C976,END","12C2081,14C965,5C1943,16C768,2C863,15C850,6C1340,17C807,8C1179,20C852,9X1169,18C908,1C1056,13C617,7C1248,19C779,4C739,21C610,10C808,22C653,END","4C2292,19C902,12C816,15C757,1X964,18C416,3C941,22C473,6X1453,20C578,10C816,17C509,8C700,13C524,2C1015,20C475,11C822,16C622,8C931,19C724,11C770,16C566,1C778,14C557,2C1888,15C674,6C2847,22C751,12C777,13C688,3X1566,17C653,5C1063,14C725,9C1154,18C723,10C1268,21C689,7C968,21C1359,END","14C1388,16C625,19C676,16C666,20C762,19C769,13C1228,19C722,13X934,22C800,16C706,20C1001,19C532,15X974,15C481,18C751,21X977,13C955,21C671,17C730,22C1044,21C583,18X2154,20C788,21C639,15C958,14C906,14C613,15C734,17C634,22C682,18C1064,17C926,22C577,13C1150,14C810,17C539,18C643,16C731,20C963,END","6C1395,16C447,3C566,17C554,10C674,14C990,5X1711,13C801,8C673,22C480,9C684,19C519,1C727,21C738,12C844,20C501,11C718,18C635,4C973,15C758,END","11C1695,18C585,4C960,13C1283,5C1147,15C3270,9X1770,14C1215,2X2145,16C975,1C1816,22C979,12X2730,19C847,8C2466,14C634,6C1065,19C639,1X1812,13C946,3C1077,22C621,12C756,20C457,6C733,21C2837,7C1405,15C741,10C910,17C865,7C969,18C783,9C778,17X891,8C1001,20C834,3X2598,21C989,2C4381,16C868,END",Female,34,0,1.0,2,"40,000 - 49,999",Insurance sales,conservative,Democratic,1.0,,2,,2,,27273923,40,R_2VNJr47DVHke6d7,0.042831062,1
40,11/17/22 12:20,11/17/22 12:28,0,100,468,1,11/17/22 12:28,R_1cS35YShfzTZjbv,anonymous,EN,0.0,0.0,17.259,0,1,2,1,"1,2",,,,,,,,"22C16585,17C854,13C688,18C695,18C619,15C614,16C653,20C585,21C556,17C539,14C945,19C559,14C583,15C610,22C841,16C517,13C586,21C673,19C472,20X700,END","6C1355,3C1093,7C652,5C1019,2C558,4C649,9C576,11C579,11C501,9C567,1C516,8C565,1C558,12C695,6C594,10C512,7X1045,3X1193,2C607,8X743,END","4C1258,18C646,12C658,14C533,2C906,20C627,9C718,16C560,8X1757,17C684,7X2113,19C1156,5C935,13C572,1C599,22C606,3X1307,15X806,10C763,21C625,END","5C1843,13C648,10C812,16C556,9C627,22C433,11C656,22C444,8C717,13C468,4C759,17C569,12C711,14C715,6X1481,20C565,11C600,18X671,2C838,16C592,12C720,14C534,1C835,19C487,7X1340,19C1779,1C626,15X624,6C769,21X903,4C826,17C600,5C1324,21C622,7X837,20C679,3X1400,15C692,9C1802,18C845,END","17C919,18C496,14C507,16C494,22C512,17C498,18C555,21C504,20C522,13C419,15C492,17C552,20C603,14C449,19C546,16C486,18C567,20X890,20C587,13C484,22C501,21C548,13C487,19C589,16C488,16X729,22C512,19C511,13C490,17C624,15C520,19C515,15C507,14C695,14C524,21C503,15C522,21C584,22C691,18C557,END","1C1282,14C5638,11C799,22C587,10C543,15X710,2C655,19C595,12C629,18X608,3C544,20C1,4C1134,17C658,5C512,21C541,9C622,13C545,8C789,16C621,END","1C1519,17C486,9C567,13C512,5C80,19C724,8C872,16C543,7C613,15C632,10C756,14C490,10C623,20C583,4C484,20C611,3X1305,16C845,11C615,14C569,3C1071,15C506,5X769,22C677,12C797,21C594,6C550,18C672,8C681,17C884,1X908,19C1229,9C764,21C484,2C516,22C600,4C573,18C628,12C580,13C675,END",,,,,,,,,,,,,,,Female,38,0,1.0,1,"40,000 - 49,999",Property Manager,conservative,Democratic,1.0,stretch my fingers,2,,2,,75816024,41,R_1cS35YShfzTZjbv,0.201013644,1
42,11/17/22 12:25,11/17/22 12:29,0,100,224,1,11/17/22 12:29,R_zSiMCAlaIuv2BEt,anonymous,EN,0.0,0.0,13.134,0,1,2,1,"1,2",,,,,,,,,,,,,,,,,,,,,,"17C1494,22X93,21X118,20X133,17C162,14C160,18X173,14C116,18X133,21X137,13C87,19X157,15C117,15C156,22X124,16X126,13C102,16C130,19X166,20X118,END","4X603,11C115,1X109,8C121,11C28,5X555,12C120,2X111,1X91,2X217,9C89,3X124,8C113,6X121,10C126,4X150,6X105,7C124,9C132,12C144,END","4X458,21X95,12X145,17C143,3X147,22X259,9C143,18X478,1C110,19X241,6X165,20X166,2X122,13C170,10C183,16C165,11C115,14X185,7X215,15C155,END","2X641,17X147,9C116,14C29,7C172,22X170,6X114,20X147,11C149,19X159,10C147,21X1370,4X191,16C122,7C138,13X181,4C131,22C149,5X390,15C166,12X164,13C166,6C121,15C196,11C173,21X487,3X563,20X364,10C139,17C5,3X434,19X407,1X2211,18X132,1X145,14C166,8C178,18X387,9X182,16C194,END","16X464,20C149,20C195,19C132,18C213,13X227,16X579,21C149,20C148,13X389,17X132,18C133,21C162,22C21,19C196,13X166,14X837,17C4,17X179,22C197,14X1850,21C301,18X180,16X660,17X886,15X258,22C254,19C474,20C348,16X148,14X1834,15X2211,22C341,18C90,21C4,14X2936,13X1739,19C107,15X203,15X374,END","7C1616,14C124,12C188,22X470,8X217,13C501,10C212,17X2135,6X355,20C109,4X97,15C50,3C135,19X176,11C153,21X14,5C21,18C30,1X206,16C229,END","12C470,19C141,3X228,13X3157,11X213,17X167,1X403,18X372,10X403,15C149,7X420,13X217,2X1055,14C420,9X731,20X155,6X184,22X192,8C182,15C149,9C19,20C21,5C4,21C117,5X132,14X1688,11C161,21C406,3X934,22C131,12C506,18C94,6X117,19X131,8C148,16C86,4X387,16C167,4X387,17C164,END",Female,35,0,1.0,4,"60,000 - 69,999",manager,Liberal,Democratic,1.0,,2,,2,,16860556,43,R_zSiMCAlaIuv2BEt,,0
45,11/17/22 12:24,11/17/22 12:29,0,100,291,1,11/17/22 12:29,R_2PAwN4AdOermoiT,anonymous,EN,0.0,0.0,151.032,0,1,2,1,"1,2","18X371,15X39,21C12,20C21,22C28,16X22,13X23,20C17,21C11,17X605,14X32,13X34,16X17,15C20,22C35,14X47,19C56,17X32,19C23,18C29,END","4C459,9C28,3X24,11X52,8C34,7C35,8X41,9C35,11C47,10C52,3X42,6X31,12C43,2X80,1X49,4X44,2X62,10C67,1X85,5C113,END","5X191,22X67,12C51,17X65,6X54,21C63,8X73,13X94,9C43,14X68,1C67,15X42,7C50,18C65,10C62,19C59,4X69,20C52,2X1582,16X26,END","6C246,16X132,11C61,19C44,10C54,17X75,12C60,19C61,1X70,20C74,8C77,18C99,12C89,15X110,5X121,14X153,4X85,16X93,3X60,13X136,8C67,14X44,3X207,15C17,5C53,13C29,7C100,22X84,10X64,21X57,1X52,17X29,9C38,22C89,2X76,20C11,6X85,18C67,11X29,21C77,END","16C191,15C51,21X59,14C75,19X53,21X53,18C76,22X118,13C531,17C126,20C92,18X141,17C59,18C484,14C143,22X84,17C672,19X79,17C51,21C112,19X78,18C113,16C103,13X235,15C101,19X107,22X172,16C252,13C20,22X546,20X687,20X428,14C68,13C75,20X212,16C100,21X95,14C115,15C364,15C126,END","10X192,13C61,12C30,17C49,9X2882,22X66,2X72,15C2,4X53,19X45,6X44,20X45,8C46,16C35,5X52,14C31,1X43,21X366,11C37,18X85,END","11X304,21X61,2X71,17C74,12C93,14C102,5X119,13C182,10C388,15C92,7X532,16C78,4C100,16C36,1C38,15C115,10C98,17C110,11C94,19X100,12C75,20X276,4X102,19X93,8C71,18X74,9C85,22X73,6X72,22X85,1X83,20X123,8X85,13C96,3X113,18X101,5X102,21X84,2X91,14C109,END",,,,,,,,,,,,,,,,,,,,,,Female,46,0,1.0,4,"50,000 - 59,999",manager,Liberal,Democratic,1.0,,2,,2,,76950310,46,R_2PAwN4AdOermoiT,,0
47,11/17/22 12:25,11/17/22 12:29,0,100,275,1,11/17/22 12:29,R_2ePBHEvNkCd1GCy,anonymous,EN,0.0,0.0,12.092,0,1,2,1,"1,2",,,,,,,,,,,,,,,"21C772,22C542,14C489,13C475,17C434,19C563,15C651,18X759,17C521,21C464,16C704,19C593,14C521,15X821,20X571,22C603,18X796,13C488,20C712,16C519,END","6C1014,4X1382,8C694,1C527,3X966,5C743,7C816,7C503,10C840,11C1210,3X926,12X885,8C736,2C627,12C505,11C598,1X560,4X887,9C473,5X955,END","11C1194,19C461,9C1093,17C513,4C666,13C523,6C589,14C674,12C828,18X736,5C697,16C632,3X942,15C415,1C549,20C557,8C723,22C391,7C635,21C383,END","5C841,21C534,3C850,18C413,5C658,20C476,10C591,20C548,9C549,14C468,8C563,16C423,8C602,13C460,12C595,19C570,6C542,22C494,4C571,17C572,9C702,14C614,4X648,22C525,6X723,17C612,1C574,21X723,11C681,15X794,1C487,19C540,2X769,15C616,7C764,13C464,10C600,16C528,11C613,18C407,END","15C601,17X676,13C503,22C494,18X544,17C513,19X779,18C485,14C446,16C537,22C536,14C573,20C562,21C530,16C468,20X975,13C512,19X643,21C466,17C458,22C492,19C466,20C483,15C470,16C405,18C504,17C509,21C611,16C613,13X1111,22X814,14C584,21C687,14C539,15X941,15C475,18C543,19C521,13C494,20X646,END","7C1284,15C712,2X1161,17C625,9X970,22C506,1C822,16X1060,4C895,14C498,6X761,20X745,8C955,18C609,11C576,19C643,3X1252,13C727,12X987,21X964,END","7C896,20C688,4C698,17C500,5X934,14C613,12C530,13X866,2C794,18X787,1C654,15X628,6X2012,17X883,3C3010,19C816,11C825,15C538,7C875,18C653,11C801,19X742,4C655,16X867,2C690,21C646,10C564,21C509,6C707,22X688,9C747,16C538,8C1351,13X908,12X925,20C678,5C969,22C950,10C666,14C561,END",,,,,,,,Female,40,0,1.0,3,"50,000 - 59,999",proofreader,Liberal,Republican,1.0,,2,,2,,71231214,48,R_2ePBHEvNkCd1GCy,0.72077423,1
51,11/17/22 12:26,11/17/22 12:30,0,100,194,1,11/17/22 12:30,R_2f2vUEpV444tfG8,anonymous,EN,10.561,10.561,11.739,1,1,2,1,"1,2","22X861,15C13,15X115,21C81,18X133,13C28,16X125,17X118,14X125,22C70,19X112,19X142,17C43,18C54,21X115,13C60,20C40,14C89,16X173,20C126,END","11C1608,6X98,7C57,2C69,3X149,9C50,7X148,5C95,9C44,10X163,12C159,8C192,4X215,4X212,11C119,1X93,10X155,1X83,5C23,6X255,END","6X1401,19C60,5C35,18C52,8X132,20X150,2C43,13X157,3X131,16X140,9C53,15C36,12C35,17C45,11C93,21C108,10X155,14C48,1X140,22C53,END","9C608,20X147,2X193,19C84,3C7,14X157,6X158,15X172,7C61,20X148,8X166,22X133,11X176,17C20,1X123,13X101,4X67,16C110,8X172,14X212,6X213,18C128,5X197,21C133,12X222,22C6,10X188,18X185,12X193,19X194,1X236,13X158,11C66,21X13,10C76,17C19,3X184,16X202,5X178,15X191,END","13C854,14X210,14X198,16X205,22C52,20X245,21C18,19C44,16C180,14X189,19C36,21X221,20X190,18X204,19X213,15C123,18C37,17C111,16X181,17X250,13X219,17X228,20C65,22X186,14C118,16X228,18C60,13C103,21C59,22X197,21X179,19X194,13X165,22C36,15C114,18C69,17C123,20C61,15C117,15X204,END","6C1510,19X121,3X81,15C51,5X62,14C74,12C77,17C93,8C89,16C91,11C6452,20X202,7C46,13X132,2C24,18X136,9C20,22C47,1X123,21X114,END","8C1380,13X145,7X143,21C67,4X172,20X138,2X155,15C39,5C85,16X222,3X86,21C12,1C2,22X197,11C77,13X151,4C100,14C53,2C120,16C52,7X199,18C128,12X276,17X157,6X158,22X261,10X222,18X159,1X220,17C129,8X196,19C71,3X244,15C58,10X275,14X248,9X176,20X143,11C101,19C256,END",,,,,,,,,,,,,,,,,,,,,,Female,37,0,1.0,2,"50,000 - 59,999",Manager,Liberal,Democratic,1.0,,2,,2,,66073204,52,R_2f2vUEpV444tfG8,,0
53,11/17/22 12:25,11/17/22 12:30,0,100,308,1,11/17/22 12:30,R_yDv55q3tGGD1tER,anonymous,EN,0.0,0.0,153.702,0,1,2,1,"1,2",,,,,,,,,,,,,,,,,,,,,,"13X623,13X212,22C19,15C67,21C68,20X181,20X152,16C61,19X84,17C60,14C53,15X150,21C21,14C84,18C51,19X163,17C68,18C51,16C67,22C37,END","11C160,6C35,4X195,12C83,10X195,7X165,3C45,8C85,8X180,2C37,12C100,4C51,5X179,11C115,9C147,2C4,1X165,7C157,1C132,6C116,END","2C223,1X260,18C131,9X195,16X180,11X179,19C51,12X131,14C131,6C197,15C20,8C4,21X213,7X100,17C148,4C19,22X132,3C4,13C179,END","3X208,21C196,9X290,16X372,11C197,22X211,1X228,20C85,2X195,16C99,1C35,19X181,2X165,17C48,4C163,17X35,12C36,22C132,6C5,14C52,11C179,19X263,12C160,13X212,10X244,18C69,4X211,20X243,7C115,15C5,7X197,18C36,6X212,21X162,8C148,14X164,9X172,13C69,5X21,15X381,END","15C783,15X196,16X164,21X259,13X51,18C132,19X338,17X68,21C132,14C52,19X164,18C2,15C52,22X180,21C4,14C35,19X180,20C5,17X20,16C4,13X228,13C2,18C164,22X210,13C35,18C164,19C4,22X244,14X52,20C164,16C19,17C2,14C3,16X196,20C164,22X194,17X83,21C164,15C34,20C164,END","9C206,13C36,5X228,19X179,1X67,18X195,4C67,17X195,3C3,20C195,8C5,16C35,6X228,21C67,7C67,22C36,11X211,14X115,12C147,15C85,END","4X207,13C19,8C147,14C37,3X275,22C131,2C3,21X210,6X147,16C115,12C116,14C163,9X180,15C51,9C115,18X242,12C2,18X563,4X195,20C132,11X179,16C19,6X131,21C131,2C131,17X147,7C115,20X179,11X179,19X179,10X163,19X164,5C20,15X147,7C99,22X180,1C35,17X163,5X195,13X180,END",Female,42,0,1.0,3,"70,000 - 79,999",manager,Liberal,Democratic,1.0,,2,,2,,31825770,54,R_yDv55q3tGGD1tER,,0
54,11/17/22 12:25,11/17/22 12:30,0,100,313,1,11/17/22 12:30,R_28CXfiRXHFwbBWl,anonymous,EN,0.0,0.0,176.838,0,1,2,1,"1,2",,,,,,,,,,,,,,,"14X516,22X115,18X190,22X179,13C147,16C28,17C13,17C15,20X20,21C5,15X207,18X33,19X246,16C235,21X243,19C2,14C3,15X298,20X125,13X104,END","2C282,7X62,10C14,4C5,4C67,1C254,1C5,3C149,6C206,7X217,10X12,9X221,11X229,5X227,2C12,8X24,6C227,12X194,12X236,8C195,END","3C270,15X175,10X207,14X198,1X212,17X196,9X150,22X189,5X227,21X181,11C243,20X205,12X220,13C213,4C205,18X13,8X2,19C212,6C5,16C221,END","1C260,16X247,3C218,20X245,11C18,21X214,1C225,19X262,8X234,22C8,9C3,18X18,2C24,22X45,4C28,18C65,2C69,15C14,11X81,17C18,5C42,14C46,9X104,19X72,5C4,14C3,10X147,13C54,12X66,16C21,7X68,17X271,12X67,15C9,3C24,13X51,6C188,21X4,8X28,20X35,END","14X268,18C234,18C0,14C23,18X261,13C4,17X222,22C12,15X195,17X247,22X241,16X109,16C6,20X193,20C78,19X292,15X87,19C22,19C9,17C26,13X16,21C9,22X258,21C2,20X254,19C11,16C38,21X243,20C50,15X22,22C36,18C243,13X24,14X13,21X269,14X33,15C30,16X230,17X4,13X16,END","9X270,17X215,10X266,15C12,8C14,20X209,5C19,14X143,3X245,16X105,1X277,13X99,11X33,19X256,2X180,21C183,4X296,22C8,12C47,18X196,END","8C210,18C9,8X4,19C14,9X2,16X11,3C8,18X58,4C18,17X23,5C26,16X95,1C23,22C19,11X56,20C1,7X119,21C4,12X42,21C49,10X52,15X51,1X262,19X26,6C6,22X268,11X91,20X180,6X182,13X275,2X28,15X239,2X26,17X240,7X37,13C43,12X62,14X51,4C12,14C15,END",,,,,,,,Female,36,0,1.0,1,"70,000 - 79,999",healthcare,Liberal,Democratic,1.0,no,1,no,1,none,72036449,55,R_28CXfiRXHFwbBWl,,0
57,11/17/22 12:21,11/17/22 12:31,0,100,567,1,11/17/22 12:31,R_2fyhWr5sbUde5Gx,anonymous,EN,0.0,0.0,73.225,0,1,2,1,"1,2","19C2202,17X145,18X180,14C94,22X238,22X165,21X167,21X138,15C20,13C37,19X195,14C131,20C16,16C2,17C51,18C21,20X157,13C87,16X108,15C97,END","6C746,8C19,12X139,8X198,2C91,12C70,5C18,9X148,9X231,10X185,11X174,1C68,1X139,6X124,11X171,3C87,4X156,5X112,7C76,4C124,END","8C680,22X113,2X128,16C45,11C2,21X162,4C19,20X112,6C65,13X68,7X187,17C127,1X90,14C101,10C24,15C35,5X153,18X157,12X192,19X150,END","12C185,17X53,10X89,16C19,3X98,22X136,4C67,16X100,7X186,19X228,12X170,18X205,11X221,13C102,2X143,20X202,3C128,15X216,4X179,22C189,8C5,19X187,7X274,13X150,1X172,20X167,11X222,21X189,6X89,14X125,1C123,18C38,10X180,15C160,5X164,21C133,6C98,14X78,9X159,17X155,END","19X157,21C50,21X93,14X228,20C138,15C60,13X38,18X61,21X66,20C60,16X118,17C45,13X157,21C38,20X65,16C86,14X123,14X150,15X182,13X185,17X140,22C168,16X195,18C132,20C117,13C29,18C156,17X189,15X193,14X187,19C29,22C90,17X155,19C5,15C102,19C103,22C136,22C118,16X177,18C27,END","11X204,20C48,10X83,14X132,1C21,22C84,5C116,16C62,6X182,21C107,8C13,17X181,9X176,18C62,4X71,15X113,2C59,19X102,7C80,13X106,END","10C143,20C40,7C45,22C79,10C34,14X149,3C104,17C17,6C88,22C102,2X95,21X79,9X167,21X162,1C85,20X104,12X82,13X159,8X162,15X153,2C148,14X178,4C30,18C95,5C121,19X133,3X149,13C77,8X198,16X165,6C74,18X263,5C11,19X107,11X228,15X175,7X145,16X210,9X196,17X186,END",,,,,,,,,,,,,,,,,,,,,,Female,36,0,1.0,1,"50,000 - 59,999",SUPERVISOR,Liberal,Democratic,1.0,,2,,2,,23110519,58,R_2fyhWr5sbUde5Gx,,0
67,11/17/22 12:28,11/17/22 12:34,0,100,352,1,11/17/22 12:34,R_2ypI6P31RMJYCzL,anonymous,EN,0.0,0.0,21.365,0,1,2,1,"1,2",,,,,,,,"18C1429,14X128,20C162,21C119,17X133,21C155,22C173,18C127,17X144,15X195,13X181,22C171,20C187,16C8,19C105,19C182,16X157,13X171,15X204,14X221,END","3X310,7C182,2C164,5C37,5X242,1X277,4X142,12X69,10C2,10C237,11X93,9X8,1C304,3C86,6C132,11X311,8C187,2X279,7X292,12X125,END","11X381,14X29,4C12,16X133,1C235,19C107,9X476,20X355,3C12,13C93,5X262,18C43,10X50,22X212,8X70,17X268,6X221,21C34,12X76,15X51,END","10C819,14C6,8C12,18X253,5C20,22C2,3C21,19X250,7X266,17C39,3C42,17X89,12C78,18C37,2C70,20C155,11X466,21X247,8X73,14X176,6C108,13X672,9X123,20C41,11X331,15X297,5C24,15X110,1C31,21X122,9X227,13C39,4X171,22X251,4C243,19C245,10X57,16C28,6C38,16X50,END","14X551,21X69,22C53,16X266,15C206,22X90,20C42,16C103,21X106,22X85,15C93,19C131,17X376,19C65,22C13,17X212,15C21,19X4,21X17,20C8,14C194,20C194,21C175,18X183,13C205,13C204,19X150,18X207,13C8,15C202,13C4,18C197,20X238,16X30,17C13,18C238,17C75,16X171,14C6,14C32,END","7C214,15C14,3X474,14X243,1X222,20C33,9C254,16C4,5X467,22X206,8X195,21X206,10X209,18X215,2C166,13X196,6C209,17C220,11X195,19X210,END","6C249,14X278,8C3,17C72,11X74,21X86,1X317,22X205,7X85,16C40,5C92,22X110,12X98,15C54,11X108,19C54,4X285,16C37,3C42,21X209,9X142,20X198,6X268,18X291,5X232,20C41,2C124,19X136,8X52,17C279,10X122,13C37,10C131,14X53,7X60,18X69,1X44,13X63,3C192,15C23,END",,,,,,,,,,,,,,,Female,36,0,1.0,1,"70,000 - 79,999",healthcare,Liberal,Democratic,1.0,,2,,2,,25447261,68,R_2ypI6P31RMJYCzL,,0
70,11/17/22 12:32,11/17/22 12:35,0,100,196,1,11/17/22 12:35,R_2S77UUsVutSj0qG,anonymous,EN,0.0,0.0,22.279,0,1,2,1,"1,2",,,,,,,,"22C1250,15X185,18C88,14C2,15X179,19C37,21X163,17C89,17X145,13X156,13X177,16X166,20C85,16C34,19C75,14C10,21C84,20X148,18X172,22X136,END","8X644,3C47,6X179,10C68,8X164,5C124,9C35,5C144,9C26,1C112,12C46,7X173,11X193,3C101,11C44,2C97,4X184,10C47,2C96,4X199,END","12X622,15X237,5C92,18X229,9C25,17X240,8C26,16X224,4X131,14C88,3C96,22C5,6C21,13C68,11X197,19C135,1X194,20X214,7X82,21C133,END","1C1345,19X194,9C10,20C68,6X165,14C67,3C20,21C139,5X142,13C101,7X227,19X186,7C91,15X229,12X225,13X255,11X248,18C129,12X139,22C143,4X280,15C81,5C182,14C67,2C137,18X240,8C107,22C76,10C23,17C54,9C3,16C34,8X216,17X240,4C88,21X262,6X177,20C52,3X229,16C54,END","22X1825,14C150,20C70,16C117,16X177,19X99,18X198,20X196,14X133,18C81,16C121,21C120,22X217,15C112,17X234,22C105,20X225,19X216,21X214,15C130,22C56,18C45,17C122,15X209,20C6,21X214,17C179,13X213,18C87,19X225,14X131,15X227,21X139,17C82,19C96,13C39,13X226,14X179,16X164,13C6,END","11X907,14C84,3X215,16X178,5X147,20C102,4C60,18C125,2C163,22C69,10X229,17X150,6C4,19X67,9C19,21X232,8C18,13C213,7X277,15X101,END","6C782,16C4,4C4,21C111,7X219,13X115,8C99,17C168,5X211,18X180,7C5,15X35,11X196,21X229,1C131,20C85,12X201,15C131,3X198,17X211,9X104,13C127,8X137,19X195,5C130,16X200,2X208,14X234,6X172,14X212,11C70,22X211,10X199,22X211,1C117,19C132,2C86,18X149,9X263,20C2,END",,,,,,,,,,,,,,,Female,37,0,1.0,3,"50,000 - 59,999",Manager,Liberal,Democratic,1.0,,2,,2,,26537957,71,R_2S77UUsVutSj0qG,,0
