LAUS,state,county,County Name/State Abbreviation,Year,force,employed,unemployed,unemployment
CN0111300000000,1,113,"Russell County, AL",2010,23828,21271,2557,10.7
CN0111500000000,1,115,"St. Clair County, AL",2010,38296,34472,3824,10
CN0111700000000,1,117,"Shelby County, AL",2010,102466,95317,7149,7
CN0111900000000,1,119,"Sumter County, AL",2010,5774,5018,756,13.1
CN0112100000000,1,121,"Talladega County, AL",2010,35097,30455,4642,13.2
CN0112300000000,1,123,"Tallapoosa County, AL",2010,19075,16615,2460,12.9
CN0112500000000,1,125,"Tuscaloosa County, AL",2010,94028,85458,8570,9.1
CN0112700000000,1,127,"Walker County, AL",2010,27274,23867,3407,12.5
CN0112900000000,1,129,"Washington County, AL",2010,7377,6348,1029,13.9
CN0113100000000,1,131,"Wilcox County, AL",2010,3054,2266,788,25.8
CN0113300000000,1,133,"Winston County, AL",2010,9868,8322,1546,15.7
CN0201300000000,2,13,"Aleutians East Borough, AK",2010,2028,1910,118,5.8
CN0201600000000,2,16,"Aleutians West Census Area, AK",2010,3949,3742,207,5.2
CN0202000000000,2,20,"Anchorage Borough/municipality, AK",2010,157743,146993,10750,6.8
CN0205000000000,2,50,"Bethel Census Area, AK",2010,7174,6091,1083,15.1
CN0206000000000,2,60,"Bristol Bay Borough, AK",2010,505,454,51,10.1
CN0206800000000,2,68,"Denali Borough, AK",2010,1013,888,125,12.3
CN0207000000000,2,70,"Dillingham Census Area, AK",2010,2090,1871,219,10.5
CN0209000000000,2,90,"Fairbanks North Star Borough, AK",2010,48234,44917,3317,6.9
CN0210000000000,2,100,"Haines Borough, AK",2010,1151,1024,127,11
CN0210500000000,2,105,"Hoonah-Angoon Census Area, AK",2010,1067,912,155,14.5
CN0211000000000,2,110,"Juneau Borough/city, AK",2010,17880,16787,1093,6.1
CN0212200000000,2,122,"Kenai Peninsula Borough, AK",2010,27009,24220,2789,10.3
CN0213000000000,2,130,"Ketchikan Gateway Borough, AK",2010,7122,6477,645,9.1
CN0215000000000,2,150,"Kodiak Island Borough, AK",2010,6465,5971,494,7.6
CN0215800000000,2,158,"Kusilvak Census Area, AK",2010,2668,2107,561,21
CN0216400000000,2,164,"Lake and Peninsula Borough, AK",2010,605,515,90,14.9
CN0217000000000,2,170,"Matanuska-Susitna Borough, AK",2010,42324,38178,4146,9.8
CN0218000000000,2,180,"Nome Census Area, AK",2010,4115,3582,533,13
CN0218500000000,2,185,"North Slope Borough, AK",2010,3965,3635,330,8.3
CN0218800000000,2,188,"Northwest Arctic Borough, AK",2010,2962,2551,411,13.9
CN0219500000000,2,195,"Petersburg Borough, AK",2010,1844,1692,152,8.2
CN0219800000000,2,198,"Prince of Wales-Hyder Census Area, AK",2010,2544,2267,277,10.9
CN0222000000000,2,220,"Sitka Borough/city, AK",2010,4556,4258,298,6.5
CN0223000000000,2,230,"Skagway Municipality, AK",2010,719,611,108,15
CN0224000000000,2,240,"Southeast Fairbanks Census Area, AK",2010,3200,2806,394,12.3
CN0226100000000,2,261,"Valdez-Cordova Census Area, AK",2010,4876,4403,473,9.7
CN0227500000000,2,275,"Wrangell Borough/city, AK",2010,1028,942,86,8.4
CN0228200000000,2,282,"Yakutat Borough/city, AK",2010,297,264,33,11.1
CN0229000000000,2,290,"Yukon-Koyukuk Census Area, AK",2010,2575,2117,458,17.8
CN0400100000000,4,1,"Apache County, AZ",2010,23475,19645,3830,16.3
CN0400300000000,4,3,"Cochise County, AZ",2010,57146,51843,5303,9.3
CN0400500000000,4,5,"Coconino County, AZ",2010,72998,65838,7160,9.8
CN0400700000000,4,7,"Gila County, AZ",2010,21664,18969,2695,12.4
CN0400900000000,4,9,"Graham County, AZ",2010,14598,12724,1874,12.8
CN0401100000000,4,11,"Greenlee County, AZ",2010,3444,2883,561,16.3
CN0401200000000,4,12,"La Paz County, AZ",2010,7885,7084,801,10.2
CN0401300000000,4,13,"Maricopa County, AZ",2010,1923669,1741749,181920,9.5
CN0401500000000,4,15,"Mohave County, AZ",2010,82880,72206,10674,12.9
CN0401700000000,4,17,"Navajo County, AZ",2010,43978,37557,6421,14.6
CN0401900000000,4,19,"Pima County, AZ",2010,479984,435352,44632,9.3
CN0402100000000,4,21,"Pinal County, AZ",2010,154038,137636,16402,10.6
CN0402300000000,4,23,"Santa Cruz County, AZ",2010,20917,17748,3169,15.2
CN0402500000000,4,25,"Yavapai County, AZ",2010,96734,86472,10262,10.6
CN0402700000000,4,27,"Yuma County, AZ",2010,92909,69699,23210,25
CN0500100000000,5,1,"Arkansas County, AR",2010,11273,9251,2022,17.9
CN0500300000000,5,3,"Ashley County, AR",2010,9896,8949,947,9.6
CN0500500000000,5,5,"Baxter County, AR",2010,16596,15088,1508,9.1
CN0500700000000,5,7,"Benton County, AR",2010,107052,100219,6833,6.4
CN0500900000000,5,9,"Boone County, AR",2010,16502,15259,1243,7.5
CN0501100000000,5,11,"Bradley County, AR",2010,5157,4637,520,10.1
CN0501300000000,5,13,"Calhoun County, AR",2010,2701,2474,227,8.4
CN0501500000000,5,15,"Carroll County, AR",2010,12601,11711,890,7.1
CN0501700000000,5,17,"Chicot County, AR",2010,4271,3763,508,11.9
CN0501900000000,5,19,"Clark County, AR",2010,10366,9526,840,8.1
CN0502100000000,5,21,"Clay County, AR",2010,7464,6673,791,10.6
CN0502300000000,5,23,"Cleburne County, AR",2010,10348,9491,857,8.3
CN0502500000000,5,25,"Cleveland County, AR",2010,3884,3570,314,8.1
CN0502700000000,5,27,"Columbia County, AR",2010,10516,9504,1012,9.6
CN0502900000000,5,29,"Conway County, AR",2010,9023,8183,840,9.3
CN0503100000000,5,31,"Craighead County, AR",2010,47751,44346,3405,7.1
CN0503300000000,5,33,"Crawford County, AR",2010,28286,26053,2233,7.9
CN0503500000000,5,35,"Crittenden County, AR",2010,22778,20478,2300,10.1
CN0503700000000,5,37,"Cross County, AR",2010,8608,7921,687,8
CN0503900000000,5,39,"Dallas County, AR",2010,3602,3187,415,11.5
CN0504100000000,5,41,"Desha County, AR",2010,5895,5264,631,10.7
CN0504300000000,5,43,"Drew County, AR",2010,8702,7799,903,10.4
CN0504500000000,5,45,"Faulkner County, AR",2010,58662,54585,4077,6.9
CN0504700000000,5,47,"Franklin County, AR",2010,7796,7216,580,7.4
CN0504900000000,5,49,"Fulton County, AR",2010,5167,4778,389,7.5
CN0505100000000,5,51,"Garland County, AR",2010,41504,38130,3374,8.1
CN0505300000000,5,53,"Grant County, AR",2010,8561,7978,583,6.8
CN0505500000000,5,55,"Greene County, AR",2010,19641,17804,1837,9.4
CN0505700000000,5,57,"Hempstead County, AR",2010,10693,9740,953,8.9
CN0505900000000,5,59,"Hot Spring County, AR",2010,14225,13051,1174,8.3
CN0506100000000,5,61,"Howard County, AR",2010,6575,6086,489,7.4
CN0506300000000,5,63,"Independence County, AR",2010,17042,15596,1446,8.5
CN0506500000000,5,65,"Izard County, AR",2010,5132,4634,498,9.7
CN0506700000000,5,67,"Jackson County, AR",2010,6719,5950,769,11.4
CN0506900000000,5,69,"Jefferson County, AR",2010,33924,30505,3419,10.1
CN0507100000000,5,71,"Johnson County, AR",2010,10972,10103,869,7.9
CN0507300000000,5,73,"Lafayette County, AR",2010,3073,2785,288,9.4
CN0507500000000,5,75,"Lawrence County, AR",2010,7433,6752,681,9.2
CN0507700000000,5,77,"Lee County, AR",2010,3699,3395,304,8.2
CN0507900000000,5,79,"Lincoln County, AR",2010,4693,4268,425,9.1
CN0508100000000,5,81,"Little River County, AR",2010,6213,5750,463,7.5
CN0508300000000,5,83,"Logan County, AR",2010,9795,8988,807,8.2
CN0508500000000,5,85,"Lonoke County, AR",2010,33265,31105,2160,6.5
CN0508700000000,5,87,"Madison County, AR",2010,7265,6771,494,6.8
CN0508900000000,5,89,"Marion County, AR",2010,6706,6051,655,9.8
CN0509100000000,5,91,"Miller County, AR",2010,20554,19406,1148,5.6
CN0509300000000,5,93,"Mississippi County, AR",2010,20369,17940,2429,11.9
CN0509500000000,5,95,"Monroe County, AR",2010,3410,3107,303,8.9
CN0509700000000,5,97,"Montgomery County, AR",2010,3931,3602,329,8.4
CN0509900000000,5,99,"Nevada County, AR",2010,4021,3635,386,9.6
CN0510100000000,5,101,"Newton County, AR",2010,3788,3536,252,6.7
CN0510300000000,5,103,"Ouachita County, AR",2010,11386,10346,1040,9.1
CN0510500000000,5,105,"Perry County, AR",2010,4554,4163,391,8.6
CN0510700000000,5,107,"Phillips County, AR",2010,8572,7699,873,10.2
CN0510900000000,5,109,"Pike County, AR",2010,4900,4475,425,8.7
CN0511100000000,5,111,"Poinsett County, AR",2010,10722,9758,964,9
CN0511300000000,5,113,"Polk County, AR",2010,9012,8367,645,7.2
CN0511500000000,5,115,"Pope County, AR",2010,30095,27834,2261,7.5
CN0511700000000,5,117,"Prairie County, AR",2010,3964,3613,351,8.9
CN0511900000000,5,119,"Pulaski County, AR",2010,189160,175899,13261,7
CN0512100000000,5,121,"Randolph County, AR",2010,7246,6530,716,9.9
CN0512300000000,5,123,"St. Francis County, AR",2010,9815,8806,1009,10.3
CN0512500000000,5,125,"Saline County, AR",2010,53348,49934,3414,6.4
CN0512700000000,5,127,"Scott County, AR",2010,4756,4434,322,6.8
CN0512900000000,5,129,"Searcy County, AR",2010,3388,3088,300,8.9
CN0513100000000,5,131,"Sebastian County, AR",2010,59472,54881,4591,7.7
CN0513300000000,5,133,"Sevier County, AR",2010,7089,6613,476,6.7
CN0513500000000,5,135,"Sharp County, AR",2010,6302,5706,596,9.5
CN0513700000000,5,137,"Stone County, AR",2010,5517,5115,402,7.3
CN0513900000000,5,139,"Union County, AR",2010,17213,15321,1892,11
CN0514100000000,5,141,"Van Buren County, AR",2010,6469,5768,701,10.8
CN0514300000000,5,143,"Washington County, AR",2010,102805,96374,6431,6.3
CN0514500000000,5,145,"White County, AR",2010,36409,33516,2893,7.9
CN0514700000000,5,147,"Woodruff County, AR",2010,3621,3258,363,10
CN0514900000000,5,149,"Yell County, AR",2010,9722,8967,755,7.8
CN0600100000000,6,1,"Alameda County, CA",2010,782680,695343,87337,11.2
CN0600300000000,6,3,"Alpine County, CA",2010,542,471,71,13.1
CN0600500000000,6,5,"Amador County, CA",2010,15523,13291,2232,14.4
CN0600700000000,6,7,"Butte County, CA",2010,102713,88098,14615,14.2
CN0600900000000,6,9,"Calaveras County, CA",2010,21045,17931,3114,14.8
CN0601100000000,6,11,"Colusa County, CA",2010,11560,9095,2465,21.3
CN0601300000000,6,13,"Contra Costa County, CA",2010,525745,466727,59018,11.2
CN0601500000000,6,15,"Del Norte County, CA",2010,10944,9465,1479,13.5
CN0601700000000,6,17,"El Dorado County, CA",2010,91205,79799,11406,12.5
CN0601900000000,6,19,"Fresno County, CA",2010,440562,365290,75272,17.1
CN0602100000000,6,21,"Glenn County, CA",2010,13242,11151,2091,15.8
CN0602300000000,6,23,"Humboldt County, CA",2010,66064,58933,7131,10.8
CN0602500000000,6,25,"Imperial County, CA",2010,79098,55836,23262,29.4
CN0602700000000,6,27,"Inyo County, CA",2010,9755,8783,972,10
CN0602900000000,6,29,"Kern County, CA",2010,372229,312566,59663,16
CN0603100000000,6,31,"Kings County, CA",2010,59562,49730,9832,16.5
CN0603300000000,6,33,"Lake County, CA",2010,29899,25279,4620,15.5
CN0603500000000,6,35,"Lassen County, CA",2010,12117,10374,1743,14.4
CN0603700000000,6,37,"Los Angeles County, CA",2010,4940672,4318722,621950,12.6
CN0603900000000,6,39,"Madera County, CA",2010,61743,51236,10507,17
CN0604100000000,6,41,"Marin County, CA",2010,132971,122259,10712,8.1
CN0604300000000,6,43,"Mariposa County, CA",2010,8720,7563,1157,13.3
CN0604500000000,6,45,"Mendocino County, CA",2010,41614,36679,4935,11.9
CN0604700000000,6,47,"Merced County, CA",2010,113874,92954,20920,18.4
CN0604900000000,6,49,"Modoc County, CA",2010,3821,3228,593,15.5
CN0605100000000,6,51,"Mono County, CA",2010,8890,7963,927,10.4
CN0605300000000,6,53,"Monterey County, CA",2010,216038,187860,28178,13
CN0605500000000,6,55,"Napa County, CA",2010,70244,62830,7414,10.6
CN0605700000000,6,57,"Nevada County, CA",2010,48939,43068,5871,12
CN0605900000000,6,59,"Orange County, CA",2010,1537701,1383916,153785,10
CN0606100000000,6,61,"Placer County, CA",2010,173433,152847,20586,11.9
CN0606300000000,6,63,"Plumas County, CA",2010,9172,7460,1712,18.7
CN0606500000000,6,65,"Riverside County, CA",2010,977784,839147,138637,14.2
CN0606700000000,6,67,"Sacramento County, CA",2010,683829,595476,88353,12.9
CN0606900000000,6,69,"San Benito County, CA",2010,27957,23632,4325,15.5
CN0607100000000,6,71,"San Bernardino County, CA",2010,891422,767935,123487,13.9
CN0607300000000,6,73,"San Diego County, CA",2010,1515862,1348833,167029,11
CN0607500000000,6,75,"San Francisco County/city, CA",2010,485779,441571,44208,9.1
CN0607700000000,6,77,"San Joaquin County, CA",2010,312104,259334,52770,16.9
CN0607900000000,6,79,"San Luis Obispo County, CA",2010,133590,119904,13686,10.2
CN0608100000000,6,81,"San Mateo County, CA",2010,392869,359249,33620,8.6
CN0608300000000,6,83,"Santa Barbara County, CA",2010,212274,191192,21082,9.9
CN0608500000000,6,85,"Santa Clara County, CA",2010,926868,828008,98860,10.7
CN0608700000000,6,87,"Santa Cruz County, CA",2010,141873,122559,19314,13.6
CN0608900000000,6,89,"Shasta County, CA",2010,78680,65168,13512,17.2
CN0609100000000,6,91,"Sierra County, CA",2010,1614,1361,253,15.7
CN0609300000000,6,93,"Siskiyou County, CA",2010,19672,16283,3389,17.2
CN0609500000000,6,95,"Solano County, CA",2010,202546,176520,26026,12.8
CN0609700000000,6,97,"Sonoma County, CA",2010,244609,217546,27063,11.1
CN0609900000000,6,99,"Stanislaus County, CA",2010,243828,201670,42158,17.3
CN0610100000000,6,101,"Sutter County, CA",2010,46089,37433,8656,18.8
CN0610300000000,6,103,"Tehama County, CA",2010,25762,21699,4063,15.8
CN0610500000000,6,105,"Trinity County, CA",2010,5436,4490,946,17.4
CN0610700000000,6,107,"Tulare County, CA",2010,203498,167682,35816,17.6
CN0610900000000,6,109,"Tuolumne County, CA",2010,22657,19124,3533,15.6
CN0611100000000,6,111,"Ventura County, CA",2010,430235,382449,47786,11.1
CN0611300000000,6,113,"Yolo County, CA",2010,102253,89606,12647,12.4
CN0611500000000,6,115,"Yuba County, CA",2010,29137,23841,5296,18.2
CN0800100000000,8,1,"Adams County, CO",2010,233563,209082,24481,10.5
CN0800300000000,8,3,"Alamosa County, CO",2010,7681,6955,726,9.5
CN0800500000000,8,5,"Arapahoe County, CO",2010,315828,287454,28374,9
CN0800700000000,8,7,"Archuleta County, CO",2010,5771,5129,642,11.1
CN0800900000000,8,9,"Baca County, CO",2010,2074,1967,107,5.2
CN0801100000000,8,11,"Bent County, CO",2010,2000,1829,171,8.6
CN0801300000000,8,13,"Boulder County, CO",2010,169678,157072,12606,7.4
CN0801400000000,8,14,"Broomfield County/city, CO",2010,31418,28970,2448,7.8
CN0801500000000,8,15,"Chaffee County, CO",2010,8244,7575,669,8.1
CN0801700000000,8,17,"Cheyenne County, CO",2010,1042,996,46,4.4
CN0801900000000,8,19,"Clear Creek County, CO",2010,5597,5126,471,8.4
CN0802100000000,8,21,"Conejos County, CO",2010,3744,3368,376,10
CN0802300000000,8,23,"Costilla County, CO",2010,1550,1378,172,11.1
CN0802500000000,8,25,"Crowley County, CO",2010,1520,1373,147,9.7
CN0802700000000,8,27,"Custer County, CO",2010,2070,1925,145,7
CN0802900000000,8,29,"Delta County, CO",2010,14477,12860,1617,11.2
CN0803100000000,8,31,"Denver County/city, CO",2010,346523,313456,33067,9.5
CN0803300000000,8,33,"Dolores County, CO",2010,1003,817,186,18.5
CN0803500000000,8,35,"Douglas County, CO",2010,156945,145418,11527,7.3
CN0803700000000,8,37,"Eagle County, CO",2010,32342,29465,2877,8.9
CN0803900000000,8,39,"Elbert County, CO",2010,12712,11635,1077,8.5
CN0804100000000,8,41,"El Paso County, CO",2010,305347,275510,29837,9.8
CN0804300000000,8,43,"Fremont County, CO",2010,15798,13864,1934,12.2
CN0804500000000,8,45,"Garfield County, CO",2010,31281,27896,3385,10.8
CN0804700000000,8,47,"Gilpin County, CO",2010,3316,3036,280,8.4
CN0804900000000,8,49,"Grand County, CO",2010,8924,8102,822,9.2
CN0805100000000,8,51,"Gunnison County, CO",2010,10047,9365,682,6.8
CN0805300000000,8,53,"Hinsdale County, CO",2010,468,440,28,6
CN0805500000000,8,55,"Huerfano County, CO",2010,2703,2309,394,14.6
CN0805700000000,8,57,"Jackson County, CO",2010,917,832,85,9.3
CN0805900000000,8,59,"Jefferson County, CO",2010,303208,276614,26594,8.8
CN0806100000000,8,61,"Kiowa County, CO",2010,776,724,52,6.7
CN0806300000000,8,63,"Kit Carson County, CO",2010,4368,4158,210,4.8
CN0806500000000,8,65,"Lake County, CO",2010,4362,3860,502,11.5
CN0806700000000,8,67,"La Plata County, CO",2010,29766,27527,2239,7.5
CN0806900000000,8,69,"Larimer County, CO",2010,169439,155799,13640,8.1
CN0807100000000,8,71,"Las Animas County, CO",2010,7178,6381,797,11.1
CN0807300000000,8,73,"Lincoln County, CO",2010,2144,2009,135,6.3
CN0807500000000,8,75,"Logan County, CO",2010,11215,10469,746,6.7
CN0807700000000,8,77,"Mesa County, CO",2010,75893,67247,8646,11.4
CN0807900000000,8,79,"Mineral County, CO",2010,414,384,30,7.2
CN0808100000000,8,81,"Moffat County, CO",2010,8063,7220,843,10.5
CN0808300000000,8,83,"Montezuma County, CO",2010,13018,11774,1244,9.6
CN0808500000000,8,85,"Montrose County, CO",2010,20572,18217,2355,11.4
CN0808700000000,8,87,"Morgan County, CO",2010,14383,13318,1065,7.4
CN0808900000000,8,89,"Otero County, CO",2010,8464,7650,814,9.6
CN0809100000000,8,91,"Ouray County, CO",2010,2148,1925,223,10.4
CN0809300000000,8,93,"Park County, CO",2010,9605,8786,819,8.5
CN0809500000000,8,95,"Phillips County, CO",2010,2187,2065,122,5.6
CN0809700000000,8,97,"Pitkin County, CO",2010,10845,9922,923,8.5
CN0809900000000,8,99,"Prowers County, CO",2010,6143,5691,452,7.4
CN0810100000000,8,101,"Pueblo County, CO",2010,74239,66147,8092,10.9
CN0810300000000,8,103,"Rio Blanco County, CO",2010,3139,2844,295,9.4
CN0810500000000,8,105,"Rio Grande County, CO",2010,5201,4618,583,11.2
CN0810700000000,8,107,"Routt County, CO",2010,14497,13089,1408,9.7
CN0810900000000,8,109,"Saguache County, CO",2010,3059,2734,325,10.6
CN0811100000000,8,111,"San Juan County, CO",2010,505,439,66,13.1
CN0811300000000,8,113,"San Miguel County, CO",2010,4874,4473,401,8.2
CN0811500000000,8,115,"Sedgwick County, CO",2010,1097,1011,86,7.8
CN0811700000000,8,117,"Summit County, CO",2010,19050,17698,1352,7.1
CN0811900000000,8,119,"Teller County, CO",2010,12312,11110,1202,9.8
CN0812100000000,8,121,"Washington County, CO",2010,2579,2418,161,6.2
CN0812300000000,8,123,"Weld County, CO",2010,131495,118861,12634,9.6
CN0812500000000,8,125,"Yuma County, CO",2010,4905,4614,291,5.9
CN0900100000000,9,1,"Fairfield County, CT",2010,473108,431251,41857,8.8
CN0900300000000,9,3,"Hartford County, CT",2010,479530,431989,47541,9.9
CN0900500000000,9,5,"Litchfield County, CT",2010,108289,98339,9950,9.2
CN0900700000000,9,7,"Middlesex County, CT",2010,93234,85502,7732,8.3
CN0900900000000,9,9,"New Haven County, CT",2010,462399,413886,48513,10.5
CN0901100000000,9,11,"New London County, CT",2010,143832,130327,13505,9.4
CN0901300000000,9,13,"Tolland County, CT",2010,86340,79251,7089,8.2
CN0901500000000,9,15,"Windham County, CT",2010,64559,57576,6983,10.8
CN1000100000000,10,1,"Kent County, DE",2010,73026,66336,6690,9.2
CN1000300000000,10,3,"New Castle County, DE",2010,272650,249470,23180,8.5
CN1000500000000,10,5,"Sussex County, DE",2010,90518,82581,7937,8.8
CN1100100000000,11,1,District of Columbia,2010,346707,312132,34575,10
CN1200100000000,12,1,"Alachua County, FL",2010,127384,117504,9880,7.8
CN1200300000000,12,3,"Baker County, FL",2010,11453,10197,1256,11
CN1200500000000,12,5,"Bay County, FL",2010,85366,76683,8683,10.2
CN1200700000000,12,7,"Bradford County, FL",2010,11490,10393,1097,9.5
CN1200900000000,12,9,"Brevard County, FL",2010,263342,234627,28715,10.9
CN1201100000000,12,11,"Broward County, FL",2010,928815,837443,91372,9.8
CN1201300000000,12,13,"Calhoun County, FL",2010,5269,4754,515,9.8
CN1201500000000,12,15,"Charlotte County, FL",2010,65696,57567,8129,12.4
CN1201700000000,12,17,"Citrus County, FL",2010,52351,45375,6976,13.3
CN1201900000000,12,19,"Clay County, FL",2010,95069,85944,9125,9.6
CN1202100000000,12,21,"Collier County, FL",2010,144056,127810,16246,11.3
CN1202300000000,12,23,"Columbia County, FL",2010,28547,25546,3001,10.5
CN1202700000000,12,27,"DeSoto County, FL",2010,12965,11425,1540,11.9
CN1202900000000,12,29,"Dixie County, FL",2010,5694,4983,711,12.5
CN1203100000000,12,31,"Duval County, FL",2010,450860,401244,49616,11
CN1203300000000,12,33,"Escambia County, FL",2010,138672,125154,13518,9.7
CN1203500000000,12,35,"Flagler County, FL",2010,40956,36034,4922,12
CN1203700000000,12,37,"Franklin County, FL",2010,4899,4522,377,7.7
CN1203900000000,12,39,"Gadsden County, FL",2010,19897,17629,2268,11.4
CN1204100000000,12,41,"Gilchrist County, FL",2010,6814,6102,712,10.4
CN1204300000000,12,43,"Glades County, FL",2010,5498,4993,505,9.2
CN1204500000000,12,45,"Gulf County, FL",2010,6180,5564,616,10
CN1204700000000,12,47,"Hamilton County, FL",2010,4766,4238,528,11.1
CN1204900000000,12,49,"Hardee County, FL",2010,11664,10359,1305,11.2
CN1205100000000,12,51,"Hendry County, FL",2010,18174,15707,2467,13.6
CN1205300000000,12,53,"Hernando County, FL",2010,65828,57188,8640,13.1
CN1205500000000,12,55,"Highlands County, FL",2010,36899,32428,4471,12.1
CN1205700000000,12,57,"Hillsborough County, FL",2010,640114,573638,66476,10.4
CN1205900000000,12,59,"Holmes County, FL",2010,7130,6414,716,10
CN1206100000000,12,61,"Indian River County, FL",2010,60783,52594,8189,13.5
CN1206300000000,12,63,"Jackson County, FL",2010,18782,17131,1651,8.8
CN1206500000000,12,65,"Jefferson County, FL",2010,5992,5417,575,9.6
CN1206700000000,12,67,"Lafayette County, FL",2010,3379,3141,238,7
CN1206900000000,12,69,"Lake County, FL",2010,132826,117680,15146,11.4
CN1207100000000,12,71,"Lee County, FL",2010,280605,246599,34006,12.1
CN1207300000000,12,73,"Leon County, FL",2010,148825,137411,11414,7.7
CN1207500000000,12,75,"Levy County, FL",2010,17175,15189,1986,11.6
CN1207700000000,12,77,"Liberty County, FL",2010,2910,2663,247,8.5
CN1207900000000,12,79,"Madison County, FL",2010,7878,7114,764,9.7
CN1208100000000,12,81,"Manatee County, FL",2010,146334,130121,16213,11.1
CN1208300000000,12,83,"Marion County, FL",2010,131068,113748,17320,13.2
CN1208500000000,12,85,"Martin County, FL",2010,66056,59186,6870,10.4
CN1208600000000,12,86,"Miami-Dade County, FL",2010,1229381,1085051,144330,11.7
CN1208700000000,12,87,"Monroe County, FL",2010,41862,38716,3146,7.5
CN1208900000000,12,89,"Nassau County, FL",2010,35491,31842,3649,10.3
CN1209100000000,12,91,"Okaloosa County, FL",2010,88348,81155,7193,8.1
CN1209300000000,12,93,"Okeechobee County, FL",2010,17934,15740,2194,12.2
