StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Perception check ,Q83_First Click,Q83_Last Click,Q83_Page Submit,Q83_Click Count,GINI_0.2_1,GINI_0.2_2,GINI_0.2_3,GINI_0.3_1,GINI_0.3_2,GINI_0.3_3,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,GINI_0.4_1,GINI_0.4_2,GINI_0.4_3,GINI_0.5_1,GINI_0.5_2,GINI_0.5_3,Q55_First Click,Q55_Last Click,Q55_Page Submit,Q55_Click Count,GINI_0.6_1,GINI_0.6_2,GINI_0.6_3,GINI_0.7_1,GINI_0.7_2,GINI_0.7_3,Q57_First Click,Q57_Last Click,Q57_Page Submit,Q57_Click Count,Perception check,Q71_First Click,Q71_Last Click,Q71_Page Submit,Q71_Click Count,GINI_0.2_1,GINI_0.2_2,GINI_0.2_3,GINI_0.3_1,GINI_0.3_2,GINI_0.3_3,Q85_First Click,Q85_Last Click,Q85_Page Submit,Q85_Click Count,GINI_0.4_1,GINI_0.4_2,GINI_0.4_3,GINI_0.5_1,GINI_0.5_2,GINI_0.5_3,Q55_First Click,Q55_Last Click,Q55_Page Submit,Q55_Click Count,GINI_0.6_1,GINI_0.6_2,GINI_0.6_3,GINI_0.7_1,GINI_0.7_2,GINI_0.7_3,Q56_First Click,Q56_Last Click,Q56_Page Submit,Q56_Click Count,ideology,education,income,religion,gender,age,hispanic,ethnicity,condition,opp,gc,term,rid,RISN,V,LS,cintid,ProjectToken,transaction_id,Q_BallotBoxStuffing,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RecaptchaScore,Q_RelevantIDFraudScore,Q_CHL,Q_TotalDuration
12/3/21 11:47,12/3/21 11:55,0,99.109.17.238,100,513,1,12/3/21 11:55,R_2EuXe3jpxZ2TKzq,,,,,35.79649353,-78.79810333,anonymous,EN,3,0,0,24.995,0,50,20,30,40,25,35,33.257,97.33,115.177,7,30,30,40,25,35,40,5.537,159.641,172.752,8,30,40,30,25,50,25,18.956,91.851,93.237,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,1,2,77,2,1,country,Qual6008-0510-GenPop,1,,,,,,57f2946d-2a11-10d5-1fc8-a3d99f9614b8,,,,,,,,anonymous,513
12/3/21 11:54,12/3/21 12:00,0,173.216.227.77,100,382,1,12/3/21 12:00,R_1f7wAXKYesPK4hU,,,,,36.33120728,-92.37529755,anonymous,EN,3,61.464,61.464,62.491,1,10,10,80,10,10,80,14.088,102.887,106.437,10,10,20,70,10,20,70,9.815,48.063,55.55,6,10,25,65,10,25,65,18.048,36.232,47.374,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,2,1,74,2,1,country,Qual6008-0510-GenPop,1,,,,,,aee52918-34e8-7205-07bd-1ece03bd1bd7,,,,,,,,anonymous,382
12/3/21 12:03,12/3/21 12:08,0,173.161.205.57,100,253,1,12/3/21 12:08,R_RRhtpDTcpR4xRQJ,,,,,40.07110596,-75.20510101,anonymous,EN,3,0,0,16.925,0,10,40,50,15,50,35,20,53.874,58.543,8,25,50,25,40,40,20,7.745,39.357,42.134,7,60,30,10,70,20,10,3.729,37.626,40.851,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,7,2,2,71,2,1,country,Qual6008-0510-GenPop,1,,,,,,efb23802-c74b-2367-50a7-0f99065ae9f2,,,,,,,,anonymous,253
12/3/21 12:08,12/3/21 12:12,0,206.40.120.36,100,247,1,12/3/21 12:12,R_DTagxTHxduZYp0t,,,,,44.78419495,-88.603302,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,16.709,0,40,20,40,30,50,20,24.267,81.092,82.53,6,20,30,50,33,33,34,15.669,15.669,43.38,1,40,20,40,80,10,10,4.364,25.999,40.986,2,4,2,6,2,2,67,2,1,time,Qual6008-0510-GenPop,1,,,,,,9d9da14f-6299-c7fe-7eea-96b66c025dbe,,,,,,,,anonymous,247
12/3/21 12:30,12/3/21 12:37,0,24.192.28.201,100,386,1,12/3/21 12:37,R_1gitdruaDOWBrG2,,,,,32.53039551,-84.93160248,anonymous,EN,3,0,0,33.962,0,20,40,40,30,25,45,60.279,117.4,125.291,7,40,25,35,45,20,35,8.268,47.45,54.167,6,50,15,35,60,10,30,4.293,46.029,52.25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,8,1,1,79,2,1,country,Qual6008-0510-GenPop,1,,,,,,0c424f89-5f18-2e95-a22c-7869629be35a,,,,,,,,anonymous,386
12/3/21 12:50,12/3/21 12:58,0,24.228.55.31,100,499,1,12/3/21 12:58,R_10O8jyfTfEQ5eJb,,,,,41.06170654,-74.00830078,anonymous,EN,3,2.527,14.35,17.548,5,30,70,0,30,70,0,17.867,86.643,90.881,8,30,70,0,30,70,0,2.759,18.727,21.348,5,30,70,0,30,70,0,2.42,12.948,15.218,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,9,3,1,85,2,1,country,Qual6008-0510-GenPop,1,,,,,,de6214ea-a694-52a6-834f-23491e2ead12,,,,,,,,anonymous,499
12/3/21 13:09,12/3/21 13:23,0,47.26.254.173,100,884,1,12/3/21 13:23,R_2rkFGQ2C8IuhaJn,,,,,45.35760498,-84.90879822,anonymous,EN,3,0.888,16.011,17.106,5,20,0,80,30,0,70,1.22,716.354,723.324,43,60,0,40,50,0,50,3.849,60.956,63.24,12,60,0,40,70,0,30,1.125,20.631,21.327,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,12,7,2,67,2,1,country,Qual6008-0510-GenPop,1,,,,,,8760ed4d-482f-2d5d-81e8-da4be7178a98,,,,,,,,anonymous,884
12/3/21 13:15,12/3/21 13:24,0,96.41.164.151,100,515,1,12/3/21 13:24,R_3maAR5XZPXoioLW,,,,,42.33940125,-122.8475037,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,20.106,0,10,40,50,10,60,30,50.895,127.66,133.869,6,15,70,15,10,75,15,7.52,146.628,153.939,9,5,75,20,5,85,10,8.991,100.084,114.515,6,6,5,3,7,1,70,2,1,time,Qual6008-0510-GenPop,1,,,,,,9c6bddf1-0b3d-7cd5-8a54-ea40cae7c91a,,,,,,,,anonymous,515
12/3/21 14:36,12/3/21 14:41,0,98.215.177.196,100,308,1,12/3/21 14:41,R_24pn5hEmVPwha3L,,,,,41.49339294,-87.35479736,anonymous,EN,3,1.345,65.041,66.298,6,20,0,80,30,0,70,1.091,112.29,118.327,19,40,0,60,50,0,50,1.01,21.026,26.215,8,60,0,40,70,0,30,1.324,21.245,26.487,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,8,2,1,73,2,1,country,Qual6008-0510-GenPop,1,,,,,,0cc0d117-957a-5dd9-24b2-e6eb50f5bceb,,,,,,,,anonymous,308
12/4/21 15:14,12/4/21 15:26,0,98.252.85.31,100,718,1,12/4/21 15:26,R_28B9M5hKn0eNXQM,,,,,37.99980164,-120.3266983,anonymous,EN,3,0,0,17.973,0,2,2,96,2,3,95,128.684,247.322,254.642,12,2,25,73,2,30,68,7.305,168.227,172.624,15,2,35,63,1,40,59,4.3,140.824,148.147,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,5,1,1,80,2,1,country,Qual6008-0510-GenPop,1,,61abe837-95eb-c05b-44d9-b592eaa38d6a,,H,{Invalid Expression},,,,,,,,,anonymous,718
12/7/21 4:00,12/7/21 4:04,0,135.129.113.228,100,270,1,12/7/21 4:04,R_1nViCSGYr1MVOoy,,,,,47.60339355,-122.3414001,anonymous,EN,3,0,0,28.107,0,10,10,80,5,10,85,14.783,51.478,54.246,8,10,10,80,10,10,80,11.753,25.289,28.127,7,10,10,80,10,10,80,3.028,30.099,32.841,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,6,8,2,54,2,1,country,Qual6008-0510-GenPop,1,,,,,,caec73ab-42bd-8708-0d0f-44c76598f845,,,,,,,,anonymous,270
12/7/21 4:00,12/7/21 4:05,0,67.166.15.237,100,277,1,12/7/21 4:05,R_1gLzVbJho6nP5SZ,,,,,39.62530518,-104.7863007,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,60.458,60.458,61.74,1,30,30,40,30,40,30,48.229,71.032,73.872,21,40,40,20,30,30,40,3.562,14.993,15.831,16,30,25,45,30,40,30,3.222,16.35,17.283,13,6,5,9,2,1,36,1,,time,Qual6008-0510-GenPop,1,,,,,,904ab107-175f-46f8-aba3-8661a3bc2ded,,,,,,,,anonymous,277
12/7/21 4:02,12/7/21 4:07,0,192.182.196.46,100,301,1,12/7/21 4:07,R_3oZpqAX5D8QWxEx,,,,,42.50889587,-77.00029755,anonymous,EN,3,0,0,25.48,0,31,35,34,30,35,35,48.165,112.582,117.193,6,30,34,36,31,32,37,3.421,32.58,40.824,6,33,37,30,35,40,25,2.716,45.411,49.465,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,4,1,1,67,2,1,country,Qual6008-0510-GenPop,1,,,,,,9fd782b5-7daf-5a05-3611-b5fc5ff4be69,,,,,,,,anonymous,301
12/7/21 4:00,12/7/21 4:08,0,72.184.238.86,100,480,1,12/7/21 4:08,R_3oZPpL4jOPNrDh0,,,,,28.03030396,-82.78160095,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,37.046,0,10,10,80,13,12,75,22.004,96.96,102.187,7,10,10,80,2,3,95,3.732,159.035,171.253,25,10,10,80,3,2,95,14.895,59.415,65.846,6,3,5,6,7,2,63,2,1,time,Qual6008-0510-GenPop,1,,,,,,06828475-df4d-6f54-63d1-b3a92759e59f,,,,,,,,anonymous,480
12/7/21 4:09,12/7/21 4:13,0,71.77.16.43,100,228,1,12/7/21 4:13,R_3n18svdMB0aSt6e,,,,,36.12249756,-78.68579865,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,11.625,0,50,25,25,50,20,30,13.892,59.324,62.712,7,50,20,30,30,20,50,3.732,35.043,38.447,7,30,20,50,50,30,20,2.921,22.585,25.373,6,4,4,3,1,2,85,2,1,time,Qual6008-0510-GenPop,1,,,,,,5a7fdbd1-5bf1-fb33-9975-ec544a29913c,,,,,,,,anonymous,228
12/7/21 4:12,12/7/21 4:16,0,173.224.173.214,100,246,1,12/7/21 4:16,R_1MLeCLnBZH7xfKE,,,,,44.54679871,-94.19249725,anonymous,EN,3,0,0,16.421,0,5,25,70,20,50,30,15.045,61.328,63.639,7,10,60,30,15,60,25,12.178,49.778,52.888,9,25,50,25,30,40,30,6.547,31.713,34.223,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,9,1,1,67,2,1,country,Qual6008-0510-GenPop,1,,,,,,d9724cb1-eccc-4876-9415-7b59aa355662,,,,,,,,anonymous,246
12/7/21 4:08,12/7/21 4:17,0,73.176.50.87,100,522,1,12/7/21 4:17,R_1GC8UdwQDs6HvmD,,,,,42.32940674,-89.03250122,anonymous,EN,3,0,0,35.568,0,10,70,20,5,80,15,72.094,152.094,164.14,8,4,85,11,1,90,9,12.626,82.473,83.676,8,1,92,7,1,93,6,9.358,110.414,126.165,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,6,1,2,64,2,1,country,Qual6008-0510-GenPop,1,,,,,,4783e47d-ef9a-b0cd-65d9-d3a887ffd597,,,,,,,,anonymous,522
12/7/21 4:14,12/7/21 4:17,0,64.250.221.102,100,227,1,12/7/21 4:17,R_AgLtVKFA0lS0KZP,,,,,35.86360168,-97.94730377,anonymous,EN,3,11.693,11.693,23.743,1,40,30,30,60,20,20,13.572,32.395,34.691,7,50,30,20,70,20,10,5.753,18.48,26.682,7,30,40,30,40,30,30,6.683,23.238,24.64,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,8,2,1,37,2,1,country,Qual6008-0510-GenPop,1,,,,,,585db4ff-4666-57e0-bb5b-8376eb79e515,,,,,,,,anonymous,227
12/7/21 4:07,12/7/21 4:20,0,38.87.49.91,100,769,1,12/7/21 4:20,R_2ROkUfvH305Nl2J,,,,,40.97810364,-76.62680054,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,18.66,0,1,95,4,1,96,3,29.722,93.986,100.278,6,1,97,2,1,98,1,6.716,52.927,57.208,8,1,97,2,1,98,1,31.613,68.947,74.736,7,4,3,6,7,1,61,2,1,time,Qual6008-0510-GenPop,1,,,,,,898502f1-48a5-4c45-6355-35ae4968721e,,,,,,,,anonymous,769
12/7/21 4:14,12/7/21 4:21,0,207.231.20.44,100,364,1,12/7/21 4:21,R_2bZt5xf4zWMFhG3,,,,,34.3309021,-89.48370361,anonymous,EN,3,7.384,13.461,18.807,8,30,10,60,40,15,45,15.823,110.041,117.379,23,40,20,40,30,30,40,10.237,81.002,84.925,17,40,40,20,30,30,40,9.697,35.054,38.61,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,11,1,2,56,2,2,country,Qual6008-0510-GenPop,1,,,,,,51ed311f-a572-c030-0bbb-06c60258a7de,,,,,,,,anonymous,364
12/7/21 4:16,12/7/21 4:22,0,173.91.161.227,100,331,1,12/7/21 4:22,R_2EfLadtrqv4YYDY,,,,,41.4105072,-82.35900116,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8.708,26.798,28.05,2,10,20,70,15,20,65,12.359,96.302,101.663,9,20,20,60,20,10,70,4.248,70.758,74.716,11,20,10,70,20,10,70,7.848,41.166,45.913,8,2,5,2,1,1,72,2,1,time,Qual6008-0510-GenPop,1,,,,,,3ad79700-7f78-6370-31a4-a0fcba9cbef0,,,,,,,,anonymous,331
12/7/21 4:14,12/7/21 4:24,0,71.196.51.85,100,601,1,12/7/21 4:24,R_2eX8xXm97ryjuzn,,,,,25.8132019,-80.186203,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.82,6.977,20.95,2,50,25,25,30,40,30,2.683,93.18,99.317,12,0,0,100,50,20,30,20.697,67.009,75.43,6,50,40,10,50,50,0,14.917,248.537,251.736,7,5,1,8,8,2,59,2,2,time,Qual6008-0510-GenPop,1,,,,,,c6f2288a-98fe-c3ad-142e-1fd9adf65d64,,,,,,,,anonymous,601
12/7/21 4:18,12/7/21 4:25,0,99.30.61.202,100,392,1,12/7/21 4:25,R_3Jl493tyblQDhm3,,,,,42.16889954,-87.854599,anonymous,EN,3,15.01,15.012,16.457,2,30,40,30,40,30,30,9.369,50.603,53.342,9,43,37,20,45,30,25,7.281,67.452,73.476,10,45,30,25,46,30,24,48.044,127.225,129.156,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,12,5,1,41,2,1,country,Qual6008-0510-GenPop,1,,,,,,da557e7a-36f6-a220-b3de-497e2cb6f590,,,,,,,,anonymous,392
12/7/21 4:18,12/7/21 4:26,0,98.221.78.42,100,487,1,12/7/21 4:26,R_UScfBiIf2RM3lMR,,,,,40.03050232,-74.95279694,anonymous,EN,3,0,0,21.635,0,50,40,10,60,35,5,27.389,112.057,129.147,8,40,35,5,30,60,10,8.184,100.748,104.526,8,30,60,10,20,60,20,3.986,36.286,40.082,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,9,2,2,42,2,1,country,Qual6008-0510-GenPop,1,,,,,,a0053b94-9e50-e33f-e330-0c2e87933d79,,,,,,,,anonymous,487
12/7/21 4:25,12/7/21 4:29,0,24.89.25.200,100,188,1,12/7/21 4:29,R_2R3cUaH3yzxlUdW,,,,,39.6342926,-77.73370361,anonymous,EN,3,0,0,25.119,0,80,20,0,70,30,0,20.704,50.655,53.815,5,60,40,0,50,50,0,2.785,17.207,21.617,4,40,60,0,30,70,0,4.036,21.894,23.708,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,1,1,66,2,1,country,Qual6008-0510-GenPop,1,,,,,,46657ff9-bc55-2dd1-825d-484ef49b9f14,,,,,,,,anonymous,188
12/7/21 4:22,12/7/21 4:30,0,73.9.117.166,100,453,1,12/7/21 4:30,R_2ZVV2y9MrLCIRda,,,,,42.04389954,-88.08609772,anonymous,EN,3,11.553,17.457,19.169,3,30,30,40,15,45,40,57.61,161.425,163.478,10,10,60,30,10,50,40,14.944,58.553,59.78,9,5,60,35,10,65,25,17.035,81.887,86.424,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,6,2,2,70,2,1,country,Qual6008-0510-GenPop,1,,,,,,18199d99-3f50-fee7-fe3d-aa3290cdfa72,,,,,,,,anonymous,453
12/7/21 4:19,12/7/21 4:31,0,35.142.106.211,100,733,1,12/7/21 4:31,R_1LbzEhRHsH9RvQj,,,,,28.23649597,-82.3289032,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4.827,10.172,40.901,2,26,34,40,26,34,40,7.777,248.579,259.714,18,28,32,40,30,32,38,8.775,83.206,93.645,9,33,33,34,33,34,33,4.816,92.448,93.585,11,3,5,8,2,1,76,1,,time,Qual6008-0510-GenPop,1,,,,,,c9391a05-fcbc-a8e1-dfa1-2d126113f7e9,,,,,,,,anonymous,733
12/7/21 4:26,12/7/21 4:31,0,74.5.145.185,100,295,1,12/7/21 4:31,R_1FPKUyaZVgHd0b1,,,,,40.17779541,-77.23280334,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,33.37,0,20,40,40,30,35,35,40.504,87.911,88.921,11,40,30,30,50,25,25,4.781,33.623,34.951,12,60,20,20,70,15,15,10.402,38.955,39.717,11,6,2,4,1,2,64,2,1,time,Qual6008-0510-GenPop,1,,,,,,1791cbdd-ba91-f862-7679-fcbadcd97901,,,,,,,,anonymous,295
12/7/21 4:27,12/7/21 4:34,0,104.2.103.69,100,418,1,12/7/21 4:34,R_12igyz4VSFdga7s,,,,,32.74899292,-96.46289825,anonymous,EN,3,32.864,32.864,33.213,1,20,40,40,10,40,50,34.143,186.793,187.609,12,5,55,45,2,53,45,0.095,24.123,36.963,10,1,54,45,0.5,69.5,30,2.779,32.698,36.683,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,6,5,1,26,2,4,country,Qual6008-0510-GenPop,1,,,,,,4e4757ad-c1d5-5322-a009-606cf5d04540,,,,,,,,anonymous,418
12/7/21 4:31,12/7/21 4:36,0,208.104.211.166,100,343,1,12/7/21 4:36,R_1pAS4iCPxMZt4Rk,,,,,34.748703,-80.7594986,anonymous,EN,3,0,0,19.395,0,20,80,0,30,70,0,40.515,104.94,110.267,8,40,60,0,50,50,0,15.07,40.731,45.312,4,40,60,0,30,70,0,4.653,42.813,46.809,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,12,9,2,61,2,1,country,Qual6008-0510-GenPop,1,,,,,,436818eb-ba4d-c5e7-8f4f-2f43fb929e00,,,,,,,,anonymous,343
12/7/21 4:33,12/7/21 4:37,0,68.36.70.77,100,230,1,12/7/21 4:37,R_3ijLpHSJp2SmlXT,,,,,42.30880737,-83.11730194,anonymous,EN,3,2.331,10.815,16.414,2,5,65,30,3,75,22,8.643,82.989,84.611,14,3,85,15,2,90,8,1.956,27.914,32.343,13,1,94,5,1,95,4,2.045,27.441,32.299,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,8,2,1,27,2,2,country,Qual6008-0510-GenPop,1,,,,,,22996fe6-4658-e1e3-7e42-58b22bf2620b,,,,,,,,anonymous,230
